ticker,empresa,cd_cvm,setor,preco_data,valor_mercado_brl,liquidez_63d_brl,pl,pvpa,roe_ltm,roe_med5,div_liq_ebitda,cagr_receita,cagr_lucro,conversao_caixa,status,criterios_reprovados,criterios_nao_avaliados,ultima_demonstracao,dt_receb_ultimo_doc,link_doc,fontes
QUSW3,QUALITY SOFTWARE S.A.,23302,Emp. Adm. Part. - Comunicação e Informática,,,,indisponivel,indisponivel,17.21,24.49,1.50,-17.98,24.56,0.54,REPROVADA,CAGR receita > 10%; Receita estável (sem queda >15%); FCF positivo em >=3 dos 5 anos,P/VPA < 1; P/L positivo e baixo; Liquidez >= R$5M/dia,2026-03-31,2026-05-15,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157634,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
RADL3,RAIA DROGASIL S.A.,5258,Comércio (Atacado e Varejo),2026-07-27,31770903426.290005,201920263.6190476,24.59,4.33,17.62,19.11,0.65,16.37,14.60,2.07,REPROVADA,P/VPA < 1; P/L positivo e baixo,,2026-03-31,2026-05-05,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156671,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
"RAPT3,RAPT4",RANDONCORP S.A.,14109,"Máquinas, Equipamentos, Veículos e Peças",2026-07-27,1657552740.0,13336444.507936507,prejuizo,0.53,-9.17,13.71,3.95,9.75,serie_nao_comparavel,nao_aplicavel,REPROVADA,P/L positivo e baixo; Dívida líq./EBITDA < 3; CAGR receita > 10%; Lucro positivo nos 5 anos,CAGR lucro > 10%,2026-03-31,2026-05-07,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156870,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
RDOR3,REDE D'OR SÃO LUIZ S.A.,24821,Serviços Médicos,2026-07-27,73893514296.0,248769869.6031746,16.01,3.74,23.59,12.74,0.59,28.59,31.35,-0.32,REPROVADA,P/VPA < 1; P/L positivo e baixo; FCF positivo em >=3 dos 5 anos,,2026-03-31,2026-05-06,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156740,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
REDE3,REDE ENERGIA PARTICIPAÇÕES S.A.,3190,Energia Elétrica,2026-07-27,14818538459.029999,10108.349206349207,13.06,2.38,18.26,37.37,3.46,5.57,-5.65,3.12,REPROVADA,P/VPA < 1; P/L positivo e baixo; Dívida líq./EBITDA < 3; CAGR receita > 10%; CAGR lucro > 10%; Liquidez >= R$5M/dia,,2026-03-31,2026-05-11,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157085,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
"RNEW11,RNEW3,RNEW4",RENOVA ENERGIA S.A.,21636,Energia Elétrica,2026-07-27,289781968.26,51268.12698412698,prejuizo,0.25,-12.08,-7.19,5.56,53.07,serie_nao_comparavel,nao_aplicavel,REPROVADA,P/L positivo e baixo; ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; Lucro positivo nos 5 anos; CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos; Liquidez >= R$5M/dia,CAGR lucro > 10%,2026-03-31,2026-05-13,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157334,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
RDNI3,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,20451,"Construção Civil, Mat. Constr. e Decoração",2025-12-16,93197000.0,14867.444444444445,prejuizo,4.10,-447.56,-37.73,nao_aplicavel,-7.32,serie_nao_comparavel,nao_aplicavel,REPROVADA,P/VPA < 1; P/L positivo e baixo; ROE mediano 5a > 12%; CAGR receita > 10%; Receita estável (sem queda >15%); Lucro positivo nos 5 anos; CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos; Liquidez >= R$5M/dia,Dívida líq./EBITDA < 3; CAGR lucro > 10%,2026-03-31,2026-05-15,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157640,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
RBNS,RODOBENS SA,25801,"Máquinas, Equipamentos, Veículos e Peças",,,,indisponivel,indisponivel,38.32,41.38,-0.17,1.27,-5.96,0.51,REPROVADA,CAGR receita > 10%; CAGR lucro > 10%,P/VPA < 1; P/L positivo e baixo; Liquidez >= R$5M/dia,2026-03-31,2026-05-15,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157592,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
ROMI3,ROMI S.A.,7510,"Máquinas, Equipamentos, Veículos e Peças",2026-07-27,550639114.77,1187953.4444444445,7.34,0.44,6.01,12.00,3.94,-1.04,-19.61,1.90,REPROVADA,Dívida líq./EBITDA < 3; CAGR receita > 10%; CAGR lucro > 10%; Receita estável (sem queda >15%); Liquidez >= R$5M/dia,,2026-06-30,2026-07-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159516,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
RAIL3,RUMO S.A.,17450,Emp. Adm. Part. - Serviços Transporte e Logística,2026-07-27,25610233586.4,169595131.9047619,24.62,1.84,7.50,4.05,2.47,16.80,54.02,6.91,REPROVADA,P/VPA < 1; P/L positivo e baixo; ROE mediano 5a > 12%; Lucro positivo nos 5 anos,,2026-03-31,2026-05-07,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156848,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
